中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
146.56.140.26,443,2607:a400:a:6c:0:8e31:9f75:c681,US,Los Angeles,隧道,209 ms,71 Mbps,9106 kB/s,9106.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,195 ms,70 Mbps,9062 kB/s,9062.0
146.56.155.160,443,2607:a400:a:6b:0:f194:396d:4e05,US,Los Angeles,隧道,249 ms,69 Mbps,8958 kB/s,8958.0
129.154.217.213,443,107.151.176.166,US,Los Angeles,隧道,237 ms,69 Mbps,8899 kB/s,8899.0
129.151.204.91,443,129.151.204.91,SE,Stockholm,中转,153 ms,69 Mbps,8890 kB/s,8890.0
152.70.232.59,443,2607:a400:a:6b:0:8fa6:96e5:f0b3,US,Los Angeles,隧道,281 ms,68 Mbps,8750 kB/s,8750.0
141.147.184.160,443,141.147.184.160,JP,Tokyo,中转,232 ms,68 Mbps,8726 kB/s,8726.0
152.70.234.211,443,2607:a400:a:6c:0:c71a:3ca8:eb5b,US,Los Angeles,隧道,227 ms,67 Mbps,8664 kB/s,8664.0
130.162.150.37,443,2607:a400:a:16b:0:1b4f:a417:fd12,US,Los Angeles,隧道,256 ms,67 Mbps,8578 kB/s,8578.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,227 ms,66 Mbps,8571 kB/s,8571.0
131.186.62.248,443,131.186.62.248,JP,Tokyo,中转,254 ms,66 Mbps,8532 kB/s,8532.0
129.146.7.98,443,2a09:bac5:60ef:1846::26b:4b,US,Los Angeles,隧道,80 ms,64 Mbps,8298 kB/s,8298.0
146.56.47.150,443,2607:a400:a:16b:0:ad86:f463:ddea,US,Los Angeles,隧道,245 ms,64 Mbps,8241 kB/s,8241.0
152.70.238.120,443,107.151.176.202,US,Los Angeles,隧道,232 ms,64 Mbps,8234 kB/s,8234.0
64.110.86.75,443,2607:a400:a:6c:0:6075:4113:93a6,US,Los Angeles,隧道,284 ms,62 Mbps,7961 kB/s,7961.0
193.122.127.3,443,2607:a400:a:6b:0:507f:6c34:ccb3,US,Los Angeles,隧道,236 ms,60 Mbps,7742 kB/s,7742.0
